barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
106,8.5558577615302,-1.01410900475457,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
107,6.42173825879581,1.20811159955338,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
108,-0.815045634051785,-1.41148710856214,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,1,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
109,6.53316697478294,-0.343784233555198,2,3,4,1,4,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
110,8.69170199614018,-0.718959122896194,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
111,7.17692190385424,-1.04347920976579,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
112,9.26968740229495,0.81315477611497,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,1,4,3,5,5,4,5,5,5,5,3,5,4,5,5,5
113,6.74430828168988,1.35409096488729,5,3,4,3,3,3,5,3,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
114,0.671765936305746,0.596884898841381,3,1,2,1,2,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
115,8.31025363388471,0.218206560239196,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
116,2.02716180775315,1.56323764240369,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
117,6.60683361394331,-1.10536812804639,2,4,3,1,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,3,1,5,5,1,5
118,6.1524935849011,0.883010325487703,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
119,0.136555270291865,1.18754617171362,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
120,-1.77173011144623,-0.791896057780832,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,5,3,3,3,3,5,3,3,4,3,4
121,-1.65232856431976,0.565979846287519,5,3,4,3,3,3,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
122,-1.25120831723325,0.264307188335806,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,5,1,3,2,3,4
123,7.88930780417286,-1.70356079004705,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
124,6.34072246565484,0.196670098230243,5,3,4,3,3,3,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3
125,-1.50943269184791,-1.42220030771568,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
126,8.94600117742084,1.38513219775632,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
127,2.22012599045411,0.0248389295302331,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
128,7.01110060676001,1.50730416644365,1,1,4,1,2,3,4,3,3,3,3,2,4,4,3,3,3,4,3,3,3,1,3,3,3,5,1,3,2,1,4
129,8.9706147920806,-0.425643569324166,2,1,1,4,4,5,1,1,1,5,5,3,1,1,5,5,1,1,1,1,1,4,1,1,5,1,4,1,5,4,1
130,-2.3789537770208,-1.0619015339762,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4
131,8.73009927617386,0.216895916964859,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
132,7.39959979150444,1.02563619613647,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,2,2,2,2,2
133,-2.49275987898,-0.372977389488369,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
134,7.2171741889324,1.45917974179611,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2
135,10.0391103636939,-0.793473981320858,2,4,3,4,4,5,1,1,5,5,5,3,5,3,3,5,1,5,1,1,1,4,1,1,1,3,4,1,5,5,1
136,5.56579871755093,-0.0416870461776853,5,3,4,3,3,3,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3
137,0.58509833435528,-1.26692071557045,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
138,0.96155222482048,0.886842736508697,3,1,2,1,5,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
139,5.71773388143629,0.0453333393670619,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
140,8.20017758593895,1.80447249906138,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
141,0.964048271300271,-0.845033158548176,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
142,-2.50421766540967,-0.701308462303132,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
143,1.17210133746266,0.183122309390455,3,1,5,1,5,4,1,5,5,1,4,1,3,5,1,1,4,3,1,4,1,1,5,4,5,3,1,1,3,1,5
144,1.12959738029167,-0.999866651836783,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
145,0.145786633482203,-0.912456365767866,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
146,8.51355718448758,-1.00516763050109,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
147,0.922769685043022,1.51285071624443,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
148,-1.77929503051564,0.789221955928952,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,4,1,3,2,3,4
149,9.16484092664905,-0.237307052593678,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5
150,2.15291117154993,-0.165392993949354,3,1,5,1,5,4,3,5,5,1,4,1,3,5,1,1,5,3,1,1,1,1,5,4,5,3,1,1,3,1,5
151,6.03467164863832,1.78060748847201,5,3,4,3,3,3,5,3,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
