barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
123,961.757640956598,218.550150663391,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,6,6,7,2,2,2,2,2,2,3,2,2
124,113.730090398035,237.823504085177,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,3,7,5
125,133.00344381982,237.823504085177,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,7,7,5
126,152.276797241606,237.823504085177,9,6,4,5,7,5,6,6,7,4,8,9,7,7,8,6,4,6,7,6,7,7,7,3,5,5,6,6,7,7,5
127,171.550150663391,237.823504085177,9,6,4,5,7,5,6,6,7,6,8,9,7,7,8,6,6,6,7,6,7,7,7,3,5,5,6,6,7,7,5
128,190.823504085177,237.823504085177,2,7,6,5,7,5,6,6,6,6,8,9,7,7,8,7,6,7,8,7,7,6,7,3,6,5,6,6,7,8,5
129,210.096857506962,237.823504085177,2,7,6,6,7,5,6,6,6,6,8,3,3,3,7,7,6,7,8,7,7,6,7,3,6,6,6,6,7,8,5
130,229.370210928748,237.823504085177,2,7,6,6,7,6,6,6,6,6,8,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,6,7,8,5
131,248.643564350534,237.823504085177,2,7,6,6,5,6,6,6,6,6,8,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,6,7,8,7
132,267.916917772319,237.823504085177,2,7,6,6,5,6,6,7,6,6,3,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,8,7,8,7
133,287.190271194105,237.823504085177,2,7,6,6,5,6,6,7,6,6,3,3,3,3,7,7,6,7,8,7,7,6,5,7,6,6,5,8,7,8,7
134,422.103745146603,237.823504085177,10,9,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
135,441.377098568389,237.823504085177,10,9,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
136,460.650451990174,237.823504085177,10,9,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
137,518.470512255531,237.823504085177,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
138,537.743865677316,237.823504085177,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
139,557.017219099102,237.823504085177,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
140,576.290572520888,237.823504085177,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
141,595.563925942673,237.823504085177,10,4,5,4,6,4,4,5,5,5,5,7,6,6,6,5,5,5,5,5,4,5,4,6,4,4,4,7,6,5,4
142,653.38398620803,237.823504085177,7,4,5,5,6,4,5,5,7,4,5,7,2,6,6,5,4,6,7,6,6,7,7,6,4,3,4,7,3,5,4
143,672.657339629815,237.823504085177,7,4,1,5,2,4,5,2,7,4,5,6,2,6,4,5,4,6,7,6,6,7,7,6,4,3,1,2,3,7,4
144,691.930693051601,237.823504085177,7,6,4,5,2,5,5,8,7,4,3,6,2,7,4,6,4,6,7,6,6,7,7,3,5,3,1,2,3,7,1
145,749.750753316957,237.823504085177,9,6,4,5,2,5,5,8,7,4,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
146,769.024106738743,237.823504085177,9,2,4,5,2,5,5,8,7,1,8,9,7,7,1,6,4,6,7,6,6,7,7,3,5,5,1,2,3,7,1
147,788.297460160528,237.823504085177,9,2,4,5,1,5,5,8,7,1,8,9,7,7,1,6,4,6,1,6,6,7,7,3,5,5,1,2,3,7,1
148,923.210934113027,237.823504085177,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,6,6,7,2,2,2,2,2,2,3,2,2
149,942.484287534812,237.823504085177,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,6,6,7,2,2,2,2,2,2,3,2,2
150,961.757640956598,237.823504085177,9,6,2,5,2,2,5,2,4,2,2,6,2,2,2,2,2,6,7,6,6,7,2,2,2,2,2,2,3,2,2
151,94.4567369762493,257.096857506963,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,3,7,5
152,113.730090398035,257.096857506963,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,3,7,5
153,133.00344381982,257.096857506963,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,7,7,5
154,152.276797241606,257.096857506963,9,6,4,5,7,5,5,6,7,4,8,9,7,7,8,6,4,6,7,6,6,7,7,3,5,5,6,6,7,7,5
155,171.550150663391,257.096857506963,9,6,4,5,7,5,6,6,7,4,8,9,7,7,8,6,4,6,7,6,7,7,7,3,5,5,6,6,7,7,5
156,190.823504085177,257.096857506963,2,7,6,5,7,5,6,6,6,6,8,9,7,7,8,7,6,7,7,7,7,6,7,3,6,5,6,6,7,8,5
